po_id,date,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,total_amount,negotiated_discount,expected_delivery_date,actual_delivery_date,quality_pass_rate,status
PO-9001,2024-03-23,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,295,320.0,94400.0,4273.08,2024-04-01,2024-04-01,96.7,Completed
PO-9002,2025-02-13,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,216,85.0,18360.0,511.97,2025-02-24,2025-02-26,99.5,Delayed
PO-9003,2025-02-09,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,114,1200.0,136800.0,6840.01,2025-02-16,2025-02-17,98.2,Delayed
PO-9004,2024-05-01,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,397,1200.0,476400.0,37438.52,2024-05-11,2024-05-13,98.0,Delayed
PO-9005,2024-08-10,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,198,3100.0,613800.0,15318.54,2024-08-19,2024-08-21,95.9,Delayed
PO-9006,2024-11-12,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,423,85.0,35955.0,1325.6,2024-11-19,2024-11-19,93.8,Completed
PO-9007,2024-05-14,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,391,320.0,125120.0,6060.01,2024-05-25,2024-05-25,98.3,Completed
PO-9008,2024-02-22,SUP-2008,PowerGrid Components,PROD-1009,Thermal Power Supply Unit,362,180.0,65160.0,5183.68,2024-02-29,2024-02-29,97.0,Completed
PO-9009,2024-11-20,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,167,85.0,14195.0,625.67,2024-11-26,2024-11-26,94.9,Completed
PO-9010,2024-04-08,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,268,85.0,22780.0,579.89,2024-04-13,2024-04-13,93.3,Completed
PO-9011,2024-07-27,SUP-2008,PowerGrid Components,PROD-1009,Thermal Power Supply Unit,206,180.0,37080.0,1489.53,2024-08-04,2024-08-04,96.3,Completed
PO-9012,2024-09-18,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,379,850.0,322150.0,8570.25,2024-09-23,2024-09-24,95.5,Delayed
PO-9013,2024-06-28,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,176,850.0,149600.0,4623.4,2024-07-08,2024-07-08,93.0,Completed
PO-9014,2024-12-04,SUP-2001,Apex Tech Solutions,PROD-1006,Smart Terminal Controller,158,150.0,23700.0,872.39,2024-12-13,2024-12-15,97.1,Delayed
PO-9015,2024-08-08,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,179,85.0,15215.0,609.47,2024-08-20,2024-08-21,93.8,Delayed
PO-9016,2024-12-08,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,399,1200.0,478800.0,19934.42,2024-12-15,2024-12-16,98.5,Delayed
PO-9017,2025-01-15,SUP-2009,RuggedTech Hardware,PROD-1010,Ruggedized Field Tablet,320,400.0,128000.0,7553.91,2025-01-25,2025-01-25,94.4,Completed
PO-9018,2024-07-15,SUP-2002,Global Netcom Inc,PROD-1002,Cloud Edge Router Pro,104,450.0,46800.0,1051.24,2024-07-22,2024-07-22,99.6,Completed
PO-9019,2025-03-28,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,148,320.0,47360.0,1159.98,2025-04-09,2025-04-09,96.7,Completed
PO-9020,2024-06-24,SUP-2005,OptiCable Corp,PROD-1005,Fiber Optic Cable (1km),421,210.0,88410.0,4598.51,2024-07-06,2024-07-06,94.0,Completed
PO-9021,2024-03-06,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,264,320.0,84480.0,6225.74,2024-03-15,2024-03-16,96.0,Delayed
PO-9022,2025-01-02,SUP-2002,Global Netcom Inc,PROD-1002,Cloud Edge Router Pro,273,450.0,122850.0,5545.48,2025-01-08,2025-01-10,99.3,Delayed
PO-9023,2024-09-14,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,135,1200.0,162000.0,6055.46,2024-09-23,2024-09-23,99.5,Completed
PO-9024,2024-02-01,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,429,320.0,137280.0,8385.29,2024-02-12,2024-02-14,98.9,Delayed
PO-9025,2024-02-08,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,274,85.0,23290.0,1025.95,2024-02-19,2024-02-21,94.8,Delayed
PO-9026,2024-04-04,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,131,1200.0,157200.0,11436.19,2024-04-12,2024-04-12,98.4,Completed
PO-9027,2024-08-21,SUP-2008,PowerGrid Components,PROD-1009,Thermal Power Supply Unit,412,180.0,74160.0,5276.37,2024-08-30,2024-08-31,95.0,Delayed
PO-9028,2024-05-17,SUP-2008,PowerGrid Components,PROD-1009,Thermal Power Supply Unit,110,180.0,19800.0,450.19,2024-05-24,2024-05-24,94.6,Completed
PO-9029,2024-01-21,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,192,85.0,16320.0,1181.62,2024-01-28,2024-01-29,93.4,Delayed
PO-9030,2024-05-07,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,323,320.0,103360.0,6089.84,2024-05-13,2024-05-13,97.3,Completed
PO-9031,2024-07-07,SUP-2001,Apex Tech Solutions,PROD-1006,Smart Terminal Controller,92,150.0,13800.0,614.11,2024-07-16,2024-07-16,97.2,Completed
PO-9032,2024-06-15,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,370,1200.0,444000.0,14721.61,2024-06-20,2024-06-21,99.6,Delayed
PO-9033,2024-03-31,SUP-2005,OptiCable Corp,PROD-1005,Fiber Optic Cable (1km),58,210.0,12180.0,934.69,2024-04-06,2024-04-08,94.7,Delayed
PO-9034,2024-11-16,SUP-2009,RuggedTech Hardware,PROD-1010,Ruggedized Field Tablet,332,400.0,132800.0,4414.05,2024-11-24,2024-11-26,94.8,Delayed
