transaction_id,date,department,project_name,revenue,expenses,profit,budget_allocated,budget_used,cash_flow,operational_cost,capital_expenditure,investment_amount,roi
FIN-TX-0001,2024-10-27,Finance,Employee Upskilling Initiative,0.0,178095.63,-178095.63,204305.14,178095.63,-186520.1,107217.21,70878.42,95054.1,-187.36
FIN-TX-0002,2024-01-28,Inventory,Q3 Production Scaling,0.0,160012.65,-160012.65,156824.31,160012.65,-156271.29,118387.36,41625.29,59950.35,-266.91
FIN-TX-0003,2024-04-06,Inventory,Warehouse Automation Phase 2,0.0,276152.5,-276152.5,338249.66,276152.5,-290059.0,170413.97,105738.53,136886.24,-201.74
FIN-TX-0004,2024-10-23,Procurement,Cloud Migration Project,0.0,466249.88,-466249.88,491865.47,466249.88,-475495.18,318349.06,147900.82,187480.98,-248.69
FIN-TX-0005,2025-03-24,Finance,Employee Upskilling Initiative,0.0,158669.88,-158669.88,184834.22,158669.88,-172435.67,99360.98,59308.9,81170.68,-195.48
FIN-TX-0006,2024-11-15,Sales,South Region Logistics Expansion,200094.14,111730.95,88363.19,148732.65,111730.95,80758.79,73470.75,38260.2,55912.24,158.04
FIN-TX-0007,2024-07-11,Logistics,Cloud Migration Project,0.0,403211.01,-403211.01,395756.78,403211.01,-367565.1,323301.78,79909.23,105891.08,-380.78
FIN-TX-0008,2024-01-16,Inventory,Core Procurement Efficiency,0.0,430903.31,-430903.31,495445.12,430903.31,-437973.35,266484.74,164418.57,207302.28,-207.86
FIN-TX-0009,2024-07-03,Inventory,ERP Integration & AI ADK,0.0,237844.42,-237844.42,248183.65,237844.42,-205300.51,196977.32,40867.1,59040.52,-402.85
FIN-TX-0010,2024-06-22,Sales,Warehouse Automation Phase 2,288319.01,112255.26,176063.75,139021.25,112255.26,194420.2,87526.46,24728.8,39674.56,443.77
FIN-TX-0011,2024-02-21,Inventory,Warehouse Automation Phase 2,0.0,111675.66,-111675.66,138194.4,111675.66,-95627.66,74314.25,37361.41,54833.69,-203.66
FIN-TX-0012,2025-04-24,Procurement,Warehouse Automation Phase 2,0.0,222686.58,-222686.58,220515.24,222686.58,-203328.71,139789.78,82896.8,109476.16,-203.41
FIN-TX-0013,2024-09-26,Logistics,Warehouse Automation Phase 2,0.0,188836.41,-188836.41,216338.29,188836.41,-215864.67,121391.59,67444.82,90933.78,-207.66
FIN-TX-0014,2025-04-18,HR,South Region Logistics Expansion,0.0,343562.51,-343562.51,445274.53,343562.51,-305508.98,218542.88,125019.63,160023.56,-214.69
FIN-TX-0015,2024-08-07,Inventory,Warehouse Automation Phase 2,0.0,283606.6,-283606.6,289649.62,283606.6,-324189.13,192707.25,90899.35,119079.22,-238.17
FIN-TX-0016,2024-05-30,Inventory,Q3 Production Scaling,0.0,371285.62,-371285.62,393387.07,371285.62,-403541.55,302081.27,69204.35,93045.22,-399.04
FIN-TX-0017,2025-03-11,Finance,Warehouse Automation Phase 2,0.0,74894.96,-74894.96,73966.54,74894.96,-75080.76,61280.02,13614.94,26337.93,-284.36
FIN-TX-0018,2024-12-05,HR,South Region Logistics Expansion,0.0,111990.39,-111990.39,144156.91,111990.39,-115850.24,80371.79,31618.6,47942.32,-233.59
FIN-TX-0019,2024-07-10,Inventory,Employee Upskilling Initiative,0.0,233907.64,-233907.64,224652.13,233907.64,-233808.54,184268.71,49638.93,69566.72,-336.23
FIN-TX-0020,2025-01-01,Logistics,Warehouse Automation Phase 2,0.0,170152.25,-170152.25,194820.41,170152.25,-193416.41,131634.45,38517.8,56221.36,-302.65
FIN-TX-0021,2024-11-28,Logistics,ERP Integration & AI ADK,0.0,299251.73,-299251.73,311534.01,299251.73,-257650.16,238699.97,60551.76,82662.11,-362.02
FIN-TX-0022,2024-08-05,Inventory,Warehouse Automation Phase 2,0.0,209679.52,-209679.52,253436.03,209679.52,-234130.81,137266.37,72413.15,96895.78,-216.4
FIN-TX-0023,2024-03-09,HR,Warehouse Automation Phase 2,0.0,411375.24,-411375.24,470974.51,411375.24,-442428.65,303446.01,107929.23,139515.08,-294.86
FIN-TX-0024,2024-09-19,Finance,South Region Logistics Expansion,0.0,234133.92,-234133.92,283469.32,234133.92,-242641.82,142888.59,91245.33,119494.4,-195.94
FIN-TX-0025,2024-06-11,Logistics,South Region Logistics Expansion,0.0,230440.31,-230440.31,260397.94,230440.31,-214748.67,184611.75,45828.56,64994.27,-354.55
FIN-TX-0026,2024-05-30,Sales,Warehouse Automation Phase 2,294401.6,208375.21,86026.39,248759.82,208375.21,94868.27,171986.43,36388.78,53666.54,160.3
FIN-TX-0027,2024-02-20,HR,Employee Upskilling Initiative,0.0,342816.14,-342816.14,339644.48,342816.14,-303589.87,285103.55,57712.59,79255.11,-432.55
FIN-TX-0028,2024-05-08,Finance,Q3 Production Scaling,0.0,254353.51,-254353.51,295711.73,254353.51,-239299.51,195541.09,58812.42,80574.9,-315.67
FIN-TX-0029,2025-03-13,Engineering,Core Procurement Efficiency,670917.89,300582.88,370335.01,357592.7,300582.88,398374.93,255344.83,45238.05,64285.66,576.08
FIN-TX-0030,2025-02-25,Procurement,Employee Upskilling Initiative,0.0,346726.16,-346726.16,460572.14,346726.16,-330773.19,233994.58,112731.58,145277.9,-238.66
FIN-TX-0031,2024-11-30,Logistics,South Region Logistics Expansion,0.0,419869.5,-419869.5,419837.59,419869.5,-421462.52,253169.84,166699.66,210039.59,-199.9
FIN-TX-0032,2024-04-29,Engineering,Warehouse Automation Phase 2,833070.44,362598.64,470471.8,439459.75,362598.64,472705.41,236584.28,126014.36,161217.23,291.82
FIN-TX-0033,2024-06-09,Engineering,Employee Upskilling Initiative,628435.43,386405.91,242029.52,390929.58,386405.91,267137.78,308343.69,78062.22,103674.66,233.45
FIN-TX-0034,2025-03-12,Logistics,Core Procurement Efficiency,0.0,420717.9,-420717.9,473868.4,420717.9,-428094.79,298570.96,122146.94,156576.33,-268.7
